lat,lng
25.06961,121.63826
25.0803,121.62749
25.06357,121.62613
25.03923,121.63252
25.07234,121.64738
25.06318,121.65269
25.06181,121.6703
25.08275,121.64048
25.1146,121.61073
25.06434,121.66422
25.05582,121.6653
25.06435,121.65861
25.06435,121.65861
25.06435,121.65861
25.06435,121.65861
25.10938,121.80794
25.10716,121.80765
25.11137,121.81091
25.10885,121.80138
25.1187,121.80649
25.11081,121.80146
25.10859,121.81059
25.10659,121.82438
25.10251,121.80318
25.09403,121.77745
25.11072,121.77598
25.10131,121.76234
25.09768,121.79545
25.07881,121.82547
25.08311,121.82416
25.09658,121.84269
25.05596,121.825
25.1132,121.84451
25.10457,121.84484
25.10865,121.8432
25.10595,121.84306
25.11073,121.83809
25.11064,121.84974
25.10437,121.85023
25.10224,121.85887
25.11512,121.85626
25.10859,121.81059
25.10859,121.81059
25.11795,121.83311
25.11832,121.81891
25.12802,121.81151
25.11993,121.89518
25.12179,121.91494
25.09514,121.82094
24.96889,121.44735
24.97417,121.44205
24.97902,121.44641
24.97457,121.43562
24.97221,121.44351
24.98696,121.44517
24.98268,121.44607
24.99236,121.45013
24.98328,121.45171
24.98727,121.45265
24.99454,121.45541
24.97874,121.46345
24.97479,121.45926
24.98234,121.46233
24.96145,121.46392
24.98716,121.46028
24.97221,121.44351
24.99092,121.4683
24.9733,121.47581
24.95842,121.44449
24.9533,121.43404
24.96522,121.4234
24.95589,121.4235
24.95763,121.41577
24.95433,121.41325
24.94471,121.4242
24.98581,121.45124
24.98738,121.45695
24.98482,121.45226
24.9916,121.4696
24.98937,121.46649
24.98145,121.45762
24.9793,121.44141
24.98735,121.47328
24.99163,121.45569
24.98919,121.44636
24.97481,121.44492
24.98298,121.46557
24.98844,121.45194
24.98851,121.46474
24.9803,121.4546
24.98398,121.45484
24.9794,121.44987
24.98883,121.45441
24.97569,121.46763
24.98358,121.46785
24.99157,121.47198
25.09055,121.46226
25.08554,121.46591
25.08102,121.46772
25.08456,121.46931
25.08815,121.46856
25.09263,121.4714
25.09019,121.48283
25.08615,121.47605
25.08278,121.47932
25.0804,121.47834
25.08096,121.47393
25.08551,121.47288
25.08313,121.47373
25.0817,121.47272
25.09367,121.45862
25.09063,121.45738
25.084,121.45701
25.08779,121.47867
25.08693,121.482
25.0952,121.48226
25.09784,121.47216
25.08935,121.47305
25.08334,121.46313
25.08102,121.46498
25.08199,121.46967
25.07555,121.4719
25.08431,121.47751
25.08478,121.48135
25.08328,121.46668
25.09642,121.46576
25.08184,121.4602
25.07693,121.47618
25.09113,121.47371
25.08842,121.47636
25.07818,121.46678
25.07948,121.46322
25.08749,121.45639
25.08547,121.45964
25.06995,121.45692
25.08238,121.44284
25.11399,121.44354
25.11909,121.428
25.0972,121.44968
25.09694,121.43669
25.10325,121.41162
25.08338,121.4359
25.10116,121.42338
25.07296,121.45132
25.0871,121.4321
25.07027,121.43154
25.06675,121.43578
25.1043,121.45537
25.09085,121.43222
25.11334,121.45288
25.08903,121.42253
25.0908,121.44435
25.07737,121.4271
25.0763,121.41346
25.05768,121.39977
25.06879,121.41269
25.06404,121.42792
25.06216,121.43389
25.06418,121.43905
25.05725,121.42374
25.05353,121.42358
25.04447,121.42182
25.04152,121.41957
25.03484,121.4172
25.05519,121.43338
25.04757,121.4353
25.04625,121.42999
25.04412,121.42765
25.03928,121.42678
25.06069,121.43225
25.05696,121.43188
25.08817,121.40428
25.07092,121.39707
25.07401,121.38689
25.08242,121.38916
25.09504,121.37733
25.09803,121.38787
25.08367,121.37135
25.07158,121.36909
25.06736,121.37406
25.09123,121.33931
25.11163,121.30486
25.11178,121.33814
25.11052,121.35659
25.1247,121.36566
25.07109,121.35651
25.08199,121.35188
25.07042,121.37789
25.00201,121.618
25.00743,121.60465
25.01235,121.63355
24.99051,121.62759
24.98937,121.60655
25.00321,121.6159
25.01493,121.61488
25.01279,121.62235
24.98138,121.66084
24.9901,121.6623
25.01467,121.65147
24.97441,121.65548
24.96293,121.68178
24.98228,121.6993
25.00945,121.69842
25.0126,121.67356
25.03054,121.68004
25.00835,121.64634
24.90615,121.57591
24.94378,121.62645
24.90361,121.67504
24.94135,121.71293
24.90115,121.72013
24.93584,121.71165
24.95353,121.72242
24.93171,121.73464
24.95506,121.76402
25.23999,121.51549
25.25916,121.49817
25.2633,121.49382
25.27173,121.50838
25.24578,121.51604
25.24994,121.51816
25.25309,121.53415
25.24331,121.49866
25.24478,121.47378
25.23191,121.51105
25.22233,121.53599
25.20439,121.51738
25.1978,121.50542
25.27533,121.52181
25.28241,121.53729
25.26211,121.55217
25.25485,121.56245
25.27022,121.56702
25.28352,121.57753
25.24873,121.57906
